city id,city,users
0,"Nashville, TN",6700
1,"Roachdale, IN",6700
2,"San Jose, CA",6700
3,"Omaha, NE",6700
4,"Saint Paul, MN",6700
5,"Houston, TX",6700
6,"Rialto, CA",6700
7,"Stockton, CA",6700
8,"Oroville, CA",6700
9,"Tacoma, WA",6700
10,"Springfield, MA",6700
11,"Seattle, WA",6700
12,"Relay, MD",6700
13,"Pearl City, HI",6700
14,"Phoenix, AZ",6700
15,"Pennsauken, NJ",6700
16,"Orlando, FL",6700
17,"New York City, NY",6700
18,"Kansas City, MO",6700
19,"Fort Worth, TX",6700
20,"Fairfax, SC",6700
21,"Chicago, IL",6700
22,"Washington, DC",6700
23,"Anaheim, CA",6700
24,"Atlanta, GA",6700
25,"Miami, FL",6700
26,"Akron, OH",6700
27,"Cheyenne, WY",6700
28,"Detroit, MI",6700
29,"Pueblo Viejo, Puerto Rico",2100
30,"Dublin, Ireland",2700
31,"London, UK",44000
32,"Amsterdam, Netherlands",9800
33,"Paris, France",33000
34,"Brussels, Belgium",6500
35,"Frankfurt, Germany",15500
36,"Hamburg, Germany",15500
37,"Copenhagen, Denmark",3700
38,"Oslo, Norway",3400
39,"Stockholm, Sweden",6300
40,"Zurich, Switzerland",3700
41,"Milan, Italy",30000
42,"Vienna, Austria",3700
43,"Hong Kong, China",5400
44,Singapore,4500
45,"Taipei, Taiwan",19200
46,"Seoul, South Korea",21800
47,"Tokyo, Japan",14000
48,"Sydney, Australia",7500
49,"Auckland, New Zealand",3100
50,"Medellin, Colombia",29000
51,"Caracas, Venezuela",13000
52,"Santiago, Chile",13000
53,"Los Angeles, CA",6700
54,"Mexico City, Mexico",39000
55,"Ashburn, VA",6700
56,"Pittsburgh, PA",6700
57,"Philadelphia, PA",6700
58,"Palo Alto, CA",6700
59,"Dallas, TX",6700
60,"Johannesburg, South Africa",21300
61,"Toronto, Canada",5800
62,"Sao Paulo, Brazil",69500
63,"Harrison, NJ",6700
64,"Rio de Janeiro, Brazil",69500
65,"Manila, Philippines",71800
66,"Vancouver, Canada",5800
67,"New Delhi, India",50200
68,"Bangalore, India",50200
69,"Mumbai, India",50200
70,"Monterrey, Mexico",39000
71,"Warsaw, Poland",14000
72,"Buenos Aires, Argentina",30000
73,"Melbourne, Australia",7500
74,"Hyderabad, India",50200
75,"Montreal, Canada",5800
76,"Calgary, Canada",5800
77,"Kuala Lumpur, Malaysia",25500
78,"Chennai, India",50200
79,"Moscow, Russia",13100
80,"Osaka, Japan",14000
81,"Bangkok, Thailand",46000
,Total,1286000
