"country","facebookUsers","pop2021"
"India","251000000","1393409.0380"
"United States","240000000","332915.0730"
"Brazil","139000000","213993.4370"
"Indonesia","136960000","276361.7830"
"Mexico","78000000","130262.2160"
"Philippines","71760000","111046.9130"
"Vietnam","66720000","98168.8330"
"Thailand","46000000","69950.8500"
"United Kingdom","44000000","68207.1160"
"Turkey","44000000","85042.7380"
"Egypt","42400000","104258.3270"
"Iran","40000000","85028.7590"
"Pakistan","37070000","225199.9370"
"Bangladesh","33713000","166303.4980"
"France","33000000","65426.1790"
"Germany","31000000","83900.4730"
"Argentina","30000000","45605.8260"
"Italy","30000000","60367.4770"
"Colombia","29000000","51265.8440"
"Japan","28000000","126050.8040"
"Nigeria","27120000","211400.7080"
"Malaysia","25520000","32776.1940"
"Saudi Arabia","23720000","35340.6830"
"Canada","23000000","38067.9030"
"Spain","23000000","46745.2160"
"Myanmar","22200000","54806.0120"
"South Korea","21836000","51305.1860"
"South Africa","21280000","60041.9940"
"Iraq","21276000","41179.3500"
"Peru","20000000","33359.4180"
"Taiwan","19190000","23855.0100"
"Algeria","19000000","44616.6240"
"Morocco","18330000","37344.7950"
"Australia","15000000","25788.2150"
"Poland","14000000","37797.0050"
"Russia","13100000","145912.0250"
"Chile","13000000","19212.3610"
"Venezuela","13000000","28704.9540"
"Nepal","10419000","29674.9200"
"Ecuador","10000000","17888.4750"
"Netherlands","9800000","17173.0990"
"Ukraine","9500000","43466.8190"
"Kazakhstan","9246000","18994.9620"
"Romania","8900000","19127.7740"
"United Arab Emirates","8737000","9991.0890"
"Cambodia","7810000","16946.4380"
"Syria","7609286","18275.7020"
"Tunisia","7445000","11935.7660"
"Kenya","7000000","54985.6980"
"Guatemala","6800000","18249.8600"
"Belgium","6500000","11632.3260"
"Sri Lanka","6428000","21497.3100"
"Sweden","6300000","10160.1690"
"Bolivia","6100000","11832.9400"
"Ethiopia","6007000","117876.2270"
"Israel","5877000","8789.7740"
"Portugal","5800000","10167.9250"
"Jordan","5755000","10269.0210"
"Hong Kong","5361000","7552.8100"
"Hungary","5300000","9634.1640"
"Dominican Republic","5100000","10953.7030"
"Libya","5094000","6958.5320"
"Greece","5000000","10370.7440"
"Ghana","4900000","31732.1290"
"Ivory Coast","4758000","27053.6290"
"Czech Republic","4600000","10724.5550"
"Singapore","4470000","5896.6860"
"Tanzania","4271000","61498.4370"
"Kuwait","4093000","4328.5500"
"Lebanon","3967000","6769.1460"
"Belarus","3850000","9442.8620"
"Afghanistan","3848400","39835.4280"
"Denmark","3700000","5813.2980"
"Switzerland","3700000","8715.4940"
"Austria","3700000","9043.0700"
"Senegal","3408000","17196.3010"
"Norway","3400000","5465.6300"
"El Salvador","3400000","6518.4990"
"Serbia","3400000","8697.5500"
"Honduras","3400000","10062.9910"
"Bulgaria","3300000","6896.6630"
"Paraguay","3300000","7219.6380"
"Costa Rica","3200000","5139.0520"
"Slovakia","3200000","5460.7210"
"DR Congo","3117000","92377.9930"
"New Zealand","3100000","4860.6430"
"Uzbekistan","3094000","33935.7630"
"Laos","3056000","7379.3580"
"Qatar","2942000","2930.5280"
"Ireland","2700000","4982.9070"
"Finland","2700000","5548.3600"
"Cameroon","2700000","27224.2650"
"Palestine","2677000","5222.7480"
"Oman","2635400","5223.3750"
"Yemen","2552100","30490.6400"
"Georgia","2524000","3979.7650"
"Nicaragua","2500000","6702.3850"
"Uganda","2471000","47123.5310"
"Mozambique","2448000","32163.0470"
"Kyrgyzstan","2418000","6628.3560"
"Uruguay","2400000","3485.1510"
"Madagascar","2317000","28427.3280"
"Zambia","2253000","18920.6510"
"Angola","2244000","33933.6100"
"Mongolia","2233000","3329.2890"
"Puerto Rico","2100000","2828.2550"
"Guinea","2008000","13497.2440"
"Panama","2000000","4381.5790"
"Azerbaijan","1854000","10223.3420"
"Croatia","1800000","4081.6510"
"Haiti","1800000","11541.6850"
"Mali","1670100","20855.7350"
"Somalia","1666500","16359.5040"
"Bosnia and Herzegovina","1500000","3263.4660"
"Lithuania","1400000","2689.8620"
"Albania","1400000","2872.9330"
"Bahrain","1352500","1748.2960"
"China","1330000","1444216.1070"
"Sudan","1300000","44909.3530"
"Armenia","1252000","2968.1270"
"Jamaica","1100000","2973.4630"
"Zimbabwe","994000","15092.1710"
"Benin","920000","12451.0400"
"Slovenia","910000","2078.7240"
"Cyprus","870000","1215.5840"
"Mauritius","852000","1273.4330"
"Burkina Faso","840000","21497.0960"
"Botswana","830000","2397.2410"
"Moldova","800000","4024.0190"
"Mauritania","796900","4775.1190"
"Gabon","743000","2278.8250"
"Latvia","740000","1866.9420"
"Republic of the Congo","732800","5657.0130"
"Trinidad and Tobago","700000","1403.3750"
"Sierra Leone","693400","8141.3430"
"Namibia","692400","2587.3440"
"Papua New Guinea","670000","9119.0100"
"Togo","658100","8478.2500"
"Tajikistan","645500","9749.6270"
"Estonia","620000","1325.1850"
"Rwanda","592400","13276.5130"
"Reunion","544000","901.6860"
"Liberia","537000","5180.2030"
"Malawi","500200","19647.6840"
"Niger","500200","25130.8170"
"Fiji","470000","902.9060"
"Burundi","450000","12255.4330"
"Lesotho","445600","2159.0790"
"Bhutan","413100","779.8980"
"Macau","406900","658.3940"
"Brunei","400200","441.5320"
"Timor-Leste","390000","1343.8730"
"Maldives","375100","543.6170"
"Gambia","370100","2486.9450"
"Guyana","360000","790.3260"
"Chad","328000","16914.9850"
"Malta","320000","442.7840"
"Montenegro","320000","628.0530"
"Luxembourg","320000","634.8140"
"Suriname","310000","591.8000"
"South Sudan","282901","11381.3780"
"Eswatini","255200","1172.3620"
"Iceland","250000","343.3530"
"Cape Verde","240000","561.8980"
"Bahamas","220000","396.9130"
"Guadeloupe","220000","400.0200"
