id,Location
0,"Nashville, TN"
1,"Roachdale, IN"
2,"San Jose, CA"
3,"Omaha, NE"
4,"Saint Paul, MN"
5,"Houston, TX"
6,"Rialto, CA"
7,"Stockton, CA"
8,"Oroville, CA"
9,"Tacoma, WA"
10,"Springfield, MA"
11,"Seattle, WA"
12,"Relay, MD"
13,"Pearl City, HI"
14,"Phoenix, AZ"
15,"Pennsauken, NJ"
16,"Orlando, FL"
17,"New York City, NY"
18,"Kansas City, MO"
19,"Fort Worth, TX"
20,"Fairfax, SC"
21,"Chicago, IL"
22,"Washington, DC"
23,"Anaheim, CA"
24,"Atlanta, GA"
25,"Miami, FL"
26,"Akron, OH"
27,"Cheyenne, WY"
28,"Detroit, MI"
29,"Pueblo Viejo, Puerto Rico"
30,"Dublin, Ireland"
31,"London, UK"
32,"Amsterdam, Netherlands"
33,"Paris, France"
34,"Brussels, Belgium"
35,"Frankfurt, Germany"
36,"Hamburg, Germany"
37,"Copenhagen, Denmark"
38,"Oslo, Norway"
39,"Stockholm, Sweden"
40,"Zurich, Switzerland"
41,"Milan, Italy"
42,"Vienna, Austria"
43,"Hong Kong, China"
44,Singapore
45,"Taipei, Taiwan"
46,"Seoul, South Korea"
47,"Tokyo, Japan"
48,"Sydney, Australia"
49,"Auckland, New Zealand"
50,"Medellin, Colombia"
51,"Caracas, Venezuela"
52,"Santiago, Chile"
53,"Los Angeles, CA"
54,"Mexico City, Mexico"
55,"Ashburn, VA"
56,"Pittsburgh, PA"
57,"Philadelphia, PA"
58,"Palo Alto, CA"
59,"Dallas, TX"
60,"Johannesburg, South Africa"
61,"Toronto, Canada"
62,"Sao Paulo, Brazil"
63,"Harrison, NJ"
64,"Rio de Janeiro, Brazil"
65,"Manila, Philippines"
66,"Vancouver, Canada"
67,"New Delhi, India"
68,"Bangalore, India"
69,"Mumbai, India"
70,"Monterrey, Mexico"
71,"Warsaw, Poland"
72,"Buenos Aires, Argentina"
73,"Melbourne, Australia"
74,"Hyderabad, India"
75,"Montreal, Canada"
76,"Calgary, Canada"
77,"Kuala Lumpur, Malaysia"
78,"Chennai, India"
79,"Moscow, Russia"
80,"Osaka, Japan"
81,"Bangkok, Thailand"
